iter	Logloss
0	0.6722209584
1	0.6523795799
2	0.6332746371
3	0.6153064088
4	0.5993003238
5	0.5837575019
6	0.5693942501
7	0.5553867264
8	0.5425788119
9	0.530924367
10	0.5200767783
11	0.5097252308
12	0.5000776961
13	0.4909200305
14	0.4823541888
15	0.4736752312
16	0.4655476193
17	0.4584604281
18	0.4513037639
19	0.4447837417
20	0.4387297233
21	0.4328447592
22	0.4273546868
23	0.4224319351
24	0.4174153097
25	0.4131307223
26	0.4089729482
27	0.4046983886
28	0.4006467171
29	0.3969383961
30	0.3936966827
31	0.3902848018
32	0.3874108535
33	0.3844884089
34	0.3818432655
35	0.379237199
36	0.3767907621
37	0.3744571209
38	0.3721699393
39	0.3700699366
40	0.3679129265
41	0.3659385904
42	0.364283744
43	0.3624203454
44	0.3607715708
45	0.3592738841
46	0.3577768106
47	0.3563471448
48	0.35494123
49	0.3535650177
50	0.3525245183
51	0.3515068727
52	0.3503933993
53	0.3493441389
54	0.3482143608
55	0.3473011218
56	0.3466403784
57	0.3457926001
58	0.3449715403
59	0.3441222049
60	0.3433744353
61	0.342745788
62	0.3419380062
63	0.3411514543
64	0.3403956281
65	0.3397590645
66	0.339260581
67	0.3387421783
68	0.338262772
69	0.3376646807
70	0.337295839
71	0.3367538561
72	0.3362416067
73	0.335736146
74	0.3353601983
75	0.3349154554
76	0.3346011177
77	0.3341654261
78	0.3337883323
79	0.3333347171
80	0.3329513344
81	0.3327422535
82	0.332502775
83	0.3321150367
84	0.3317938515
85	0.3314967049
86	0.3311508556
87	0.3308874492
88	0.3307152005
89	0.3305102863
90	0.3301855337
91	0.3299254041
92	0.32967884
93	0.3294376882
94	0.3292382141
95	0.3290556144
96	0.3287864194
97	0.3286229542
98	0.3283864517
99	0.3281974951
100	0.3280433766
101	0.3278612046
102	0.3276505889
103	0.3274228396
104	0.3272723744
105	0.3271494184
106	0.3270320631
107	0.326853091
108	0.3266898098
109	0.3265427597
110	0.326423545
111	0.3263099906
112	0.3262103847
113	0.3260561306
114	0.3259046592
115	0.3257572446
116	0.3256342528
117	0.3255391184
118	0.3254244836
119	0.325333284
120	0.325198572
121	0.3251171715
122	0.3250028106
123	0.3248713224
124	0.3247868909
125	0.3247195698
126	0.3246262755
127	0.3245011708
128	0.3244283191
129	0.3243303234
130	0.324257873
131	0.3241557153
132	0.3240442104
133	0.323957805
134	0.3238796792
135	0.3237961849
136	0.3237167424
137	0.3235835177
138	0.3234672802
139	0.3233752205
140	0.3233190114
141	0.323253533
142	0.3231665235
143	0.3230819175
144	0.3230132377
145	0.3229352046
146	0.3228592738
147	0.3227877102
148	0.3227228848
149	0.3226675029
150	0.3226075246
151	0.3225670024
152	0.3225123934
153	0.322459266
154	0.3224006048
155	0.322358189
156	0.3223196414
157	0.322273578
158	0.3222239032
159	0.3221687481
160	0.3220946138
161	0.3220550298
162	0.3220062108
163	0.3219470194
164	0.3218989295
165	0.3218358583
166	0.3217520065
167	0.3216845235
168	0.3216410997
169	0.3216007841
170	0.3215629122
171	0.3215214738
172	0.3214572711
173	0.3214085079
174	0.3213719368
175	0.321349435
176	0.3213134829
177	0.3212750759
178	0.3212181398
179	0.3211689745
180	0.321135724
181	0.3210872836
182	0.3210109409
183	0.3209736687
184	0.320917672
185	0.3208789538
186	0.3208320361
187	0.3207928301
188	0.3207518587
189	0.3207100442
190	0.3206782552
191	0.320630552
192	0.3206008498
193	0.3205665895
194	0.3205367493
195	0.3204864627
196	0.3204505917
197	0.3204141603
198	0.3203720397
199	0.3203400933
200	0.3202583313
201	0.3202002511
202	0.3201648123
203	0.3201276607
204	0.3201018031
205	0.3200530774
206	0.3200131917
207	0.3199761981
208	0.3199501948
209	0.3199046542
210	0.319878487
211	0.319851825
212	0.319827615
213	0.3197967787
214	0.3197576017
215	0.3197324419
216	0.319690828
217	0.3196542472
218	0.3196225641
219	0.3195820376
220	0.3195573951
221	0.3195159407
222	0.3194911203
223	0.3194444165
224	0.3194215546
225	0.3193960071
226	0.3193666446
227	0.3193435636
228	0.3193173102
229	0.319289921
230	0.319260075
231	0.319207653
232	0.3191828376
233	0.3191506961
234	0.319118774
235	0.3190907982
236	0.3190370657
237	0.3190192576
238	0.3189791806
239	0.3189545283
240	0.3189213176
241	0.3188791194
242	0.3188666901
243	0.3188336428
244	0.3187946057
245	0.3187687634
246	0.3187403717
247	0.3187212344
248	0.3186960592
249	0.3186496845
250	0.3186205453
251	0.3185962852
252	0.3185528064
253	0.3185212007
254	0.3184759788
255	0.3184472505
256	0.3184189122
257	0.3183954927
258	0.3183602
259	0.3183377448
260	0.3182977351
261	0.3182736235
262	0.3182527845
263	0.3182294199
264	0.3182106023
265	0.3181901991
266	0.3181369498
267	0.318114845
268	0.3180876643
269	0.3180569614
270	0.3180290091
271	0.3180104921
272	0.3179883002
273	0.3179751343
274	0.3179485996
275	0.3179278023
276	0.3179016595
277	0.3178652512
278	0.317851689
279	0.3178261416
280	0.3178053171
281	0.3177853543
282	0.317764262
283	0.3177482126
284	0.3177048347
285	0.3176783962
286	0.3176588518
287	0.3176386076
288	0.317623401
289	0.3175962032
290	0.3175821907
291	0.3175565863
292	0.3175330108
293	0.3175128551
294	0.3174865336
295	0.3174604625
296	0.3174443066
297	0.3174234667
298	0.317403265
299	0.3173879494
300	0.3173664506
301	0.3173490272
302	0.3173276271
303	0.3173079419
304	0.3172943026
305	0.3172700316
306	0.3172586289
307	0.3172410851
308	0.3172203233
309	0.3171985975
310	0.3171830277
311	0.3171664947
312	0.3171534807
313	0.3171350561
314	0.3171153196
315	0.3170912242
316	0.3170735048
317	0.3170536564
318	0.3170346218
319	0.3170173101
320	0.3169974492
321	0.3169781129
322	0.316964175
323	0.3169369397
324	0.3169337806
325	0.3169203599
326	0.3169040124
327	0.3168795025
328	0.3168514213
329	0.3168275174
330	0.3167886539
331	0.3167680714
332	0.3167538714
333	0.3167390846
334	0.3167124794
335	0.3166959658
336	0.3166825604
337	0.316661639
338	0.3166435126
339	0.316616675
340	0.3166044975
341	0.316582009
342	0.316559954
343	0.3165377047
344	0.3165198997
345	0.3164977932
346	0.3164798169
347	0.316458335
348	0.3164404794
349	0.3164241529
350	0.3164123162
351	0.3163899948
352	0.3163782603
353	0.3163560414
354	0.3163454526
355	0.3163346022
356	0.3163032943
357	0.3162896751
358	0.3162684048
359	0.3162431975
360	0.3162195538
361	0.3161955361
362	0.316176489
363	0.3161657685
364	0.3161483119
365	0.3161342396
366	0.316113044
367	0.316094676
368	0.3160796781
369	0.3160595846
370	0.3160477666
371	0.3160366527
372	0.3160076405
373	0.3159746562
374	0.3159599292
375	0.3159380139
376	0.315912395
377	0.3158907921
378	0.3158759418
