iter	Passed	Remaining
0	175	175450
1	324	161755
2	467	155490
3	624	155434
4	760	151364
5	905	150028
6	1068	151528
7	1195	148297
8	1346	148263
9	1482	146810
10	1601	144032
11	1735	142880
12	1931	146635
13	2052	144525
14	2186	143567
15	2385	146708
16	2526	146070
17	2648	144508
18	2803	144756
19	2947	144432
20	3087	143924
21	3219	143124
22	3360	142748
23	3486	141791
24	3669	143106
25	3797	142243
26	3944	142156
27	4104	142495
28	4254	142448
29	4395	142119
30	4535	141764
31	4686	141765
32	4916	144078
33	5112	145241
34	5246	144646
35	5372	143859
36	5499	143143
37	5775	146216
38	6012	148152
39	6186	148478
40	6361	148789
41	6571	149887
42	6749	150226
43	6938	150751
44	7092	150525
45	7274	150866
46	7479	151664
47	7651	151746
48	7801	151404
49	8021	152400
50	8222	152997
51	8439	153857
52	8646	154488
53	8821	154533
54	8973	154174
55	9113	153623
56	9279	153514
57	9403	152718
58	9534	152060
59	9679	151651
60	9823	151219
61	9984	151061
62	10124	150586
63	10262	150092
64	10410	149750
65	10543	149207
66	10730	149428
67	10924	149728
68	11108	149884
69	11303	150181
70	11481	150229
71	11634	149954
72	11821	150117
73	12001	150179
74	12257	151174
75	12453	151410
76	12656	151715
77	12875	152196
78	13016	151751
79	13193	151726
80	13342	151380
81	13499	151133
82	13650	150815
83	13799	150484
84	13957	150252
85	14123	150105
86	14303	150103
87	14490	150171
88	14684	150306
89	14986	151528
90	15268	152518
91	15477	152755
92	15694	153060
93	15941	153652
94	16171	154052
95	16348	153948
96	16517	153770
97	16663	153369
98	16812	153011
99	16968	152714
100	17173	152863
101	17378	153002
102	17534	152707
103	17710	152580
104	17862	152257
105	18002	151832
106	18137	151373
107	18271	150910
108	18415	150535
109	18538	149991
110	18672	149550
111	18795	149024
112	18930	148595
113	19075	148254
114	19216	147886
115	19350	147464
116	19481	147026
117	19604	146531
118	19730	146074
119	19856	145617
120	19999	145282
121	20142	144959
122	20305	144780
123	20459	144533
124	20594	144159
125	20717	143708
126	20856	143365
127	21003	143083
128	21165	142911
129	21296	142519
130	21434	142186
131	21633	142254
132	21776	141957
133	21902	141550
134	22068	141404
135	22190	140976
136	22350	140791
137	22478	140407
138	22645	140270
139	22793	140018
140	22928	139686
141	23065	139368
142	23227	139203
143	23368	138910
144	23518	138676
145	23657	138382
146	23776	137968
147	23943	137837
148	24091	137597
149	24255	137448
150	24401	137199
151	24546	136942
152	24682	136642
153	24819	136344
154	24967	136112
155	25092	135755
156	25231	135480
157	25378	135243
158	25523	135004
159	25696	134906
160	25862	134772
161	26030	134649
162	26290	135002
163	26529	135237
164	26733	135285
165	26919	135247
166	27105	135202
167	27295	135175
168	27511	135279
169	27739	135433
170	27996	135724
171	28177	135644
172	28387	135704
173	28669	136096
174	28900	136243
175	29074	136119
176	29366	136547
177	29589	136644
178	29882	137060
179	30348	138256
180	30565	138305
181	30758	138243
182	30934	138105
183	31081	137839
184	31267	137745
185	31447	137625
186	31605	137406
187	31748	137126
188	31864	136731
189	31988	136371
190	32119	136044
191	32246	135704
192	32373	135365
193	32508	135061
194	32637	134734
195	32770	134426
196	32897	134096
197	33057	133901
198	33223	133727
199	33362	133449
200	33492	133138
201	33700	133131
202	33866	132964
203	34026	132769
204	34167	132502
205	34297	132196
206	34476	132077
207	34619	131819
208	34748	131512
209	34879	131213
210	35037	131018
211	35210	130875
212	35359	130646
213	35493	130365
214	35650	130166
215	35804	129958
216	35918	129606
217	36053	129328
218	36191	129067
219	36321	128775
220	36447	128472
221	36559	128123
222	36668	127764
223	36795	127469
224	36921	127174
225	37045	126871
226	37174	126591
227	37311	126336
228	37433	126030
229	37584	125825
230	37782	125776
231	37909	125491
232	38038	125217
233	38170	124950
234	38306	124701
235	38492	124610
236	38649	124427
237	38817	124281
238	38998	124173
239	39159	124004
240	39297	123763
241	39451	123570
242	39602	123371
243	39742	123136
244	39870	122866
245	40032	122702
246	40178	122487
247	40327	122282
248	40461	122035
249	40589	121768
250	40756	121621
251	40904	121414
252	41057	121224
253	41226	121081
254	41351	120810
255	41517	120660
256	41702	120563
257	41844	120344
258	41985	120121
259	42156	119983
260	42301	119774
261	42421	119492
262	42555	119251
263	42683	118996
264	42811	118740
265	42913	118414
266	43078	118265
267	43210	118022
268	43338	117770
269	43460	117505
270	43599	117285
271	43850	117363
272	44075	117374
273	44276	117317
274	44436	117150
275	44642	117106
276	44827	117004
277	44991	116848
278	45110	116574
279	45286	116450
280	45476	116360
281	45631	116181
282	45746	115900
283	45874	115655
284	46066	115570
285	46227	115406
286	46356	115163
287	46485	114922
288	46659	114792
289	46817	114622
290	46938	114363
291	47094	114187
292	47269	114060
293	47397	113819
294	47528	113584
295	47646	113321
296	47841	113240
297	48017	113116
298	48145	112877
299	48301	112703
300	48479	112581
301	48617	112367
302	48744	112128
303	48904	111966
304	49067	111809
305	49198	111581
306	49317	111324
307	49498	111210
308	49652	111034
309	49779	110798
310	49914	110583
311	50104	110485
312	50244	110281
313	50362	110028
314	50514	109850
315	50691	109725
316	50825	109508
317	50955	109281
318	51119	109128
319	51281	108973
320	51410	108747
321	51548	108539
322	51723	108412
323	51860	108203
324	51934	107863
325	52073	107661
326	52212	107459
327	52380	107316
328	52530	107137
329	52645	106886
330	52793	106703
331	52937	106512
332	53063	106286
333	53194	106071
334	53317	105839
335	53447	105622
336	53573	105398
337	53692	105161
338	53817	104935
339	53984	104792
340	54145	104638
341	54281	104436
342	54440	104279
343	54596	104114
344	54770	103983
345	54958	103880
346	55132	103750
347	55291	103591
348	55405	103349
349	55557	103177
350	55728	103042
351	55897	102902
352	56048	102728
353	56254	102656
354	56436	102539
355	56570	102335
356	56745	102205
357	56927	102087
358	57067	101894
359	57193	101677
360	57321	101464
361	57468	101284
362	57619	101111
363	57761	100923
364	57895	100722
365	58034	100529
366	58161	100317
367	58356	100220
368	58557	100134
369	58718	99980
370	58851	99777
371	58987	99580
372	59154	99435
373	59338	99321
374	59475	99125
375	59659	99009
376	59832	98874
377	59975	98689
378	60148	98553
379	60282	98355
380	60483	98266
381	60657	98131
382	60772	97902
383	60900	97693
384	61061	97539
385	61215	97373
386	61334	97153
387	61468	96956
388	61613	96775
389	61784	96636
390	61858	96346
391	61990	96148
392	62134	95968
393	62305	95829
394	62455	95659
395	62673	95593
396	62833	95436
397	63022	95324
398	63167	95147
399	63304	94956
400	63432	94753
401	63547	94530
402	63670	94321
403	63804	94127
404	63939	93935
405	64066	93732
406	64186	93519
407	64320	93328
408	64500	93202
409	64698	93103
410	64841	92923
411	64982	92742
412	65109	92540
413	65243	92349
414	65375	92156
415	65498	91950
416	65636	91764
417	65766	91569
418	65871	91340
419	66012	91159
420	66147	90972
421	66360	90891
422	66585	90826
423	66752	90683
424	66971	90608
425	67207	90556
426	67373	90410
427	67584	90322
428	67770	90203
429	67953	90077
430	68121	89933
431	68302	89805
432	68493	89689
433	68695	89589
434	68854	89431
435	68983	89235
436	69137	89072
437	69306	88927
438	69473	88780
439	69663	88662
440	69862	88555
441	70010	88384
442	70160	88214
443	70259	87982
444	70407	87811
445	70549	87632
446	70702	87468
447	70857	87306
448	71007	87137
449	71149	86960
450	71289	86780
451	71414	86581
452	71548	86394
453	71690	86217
454	71838	86048
455	71984	85876
456	72242	85837
457	72411	85692
458	72549	85509
459	72685	85326
460	72837	85161
461	72980	84985
462	73099	84782
463	73227	84590
464	73358	84401
465	73490	84214
466	73622	84027
467	73760	83847
468	73912	83683
469	74119	83581
470	74287	83435
471	74475	83311
472	74634	83155
473	74783	82987
474	74941	82829
475	75202	82786
476	75351	82618
477	75489	82438
478	75656	82290
479	75839	82159
480	76031	82037
481	76217	81909
482	76366	81741
483	76494	81551
484	76630	81370
485	76754	81177
486	76900	81005
487	77047	80837
488	77201	80674
489	77334	80491
490	77474	80315
491	77606	80130
492	77782	79990
493	77989	79884
494	78171	79750
495	78315	79578
496	78448	79395
497	78583	79214
498	78708	79024
499	78846	78846
500	79002	78687
501	79150	78519
502	79339	78393
503	79546	78283
504	79769	78190
505	79995	78098
506	80308	78091
507	80520	77984
508	80764	77908
509	81011	77834
510	81224	77727
511	81436	77618
512	81618	77481
513	81782	77327
514	81941	77167
515	82087	76996
516	82239	76831
517	82418	76690
518	82610	76561
519	82790	76421
520	82988	76298
521	83206	76193
522	83499	76155
523	83687	76021
524	83877	75888
525	84053	75744
526	84208	75579
527	84359	75412
528	84502	75237
529	84643	75061
530	84790	74890
531	84933	74716
532	85079	74544
533	85267	74409
534	85452	74271
535	85662	74155
536	85841	74012
537	86042	73887
538	86251	73769
539	86470	73660
540	86677	73539
541	86884	73419
542	87086	73293
543	87263	73147
544	87521	73068
545	87753	72966
546	87958	72843
547	88162	72717
548	88388	72610
549	88572	72468
550	88733	72307
551	88898	72149
552	89062	71990
553	89204	71814
554	89346	71638
555	89570	71527
556	89758	71387
557	89954	71254
558	90129	71104
559	90298	70948
560	90451	70781
561	90608	70616
562	90763	70450
563	90902	70272
564	91082	70125
565	91298	70006
566	91500	69876
567	91747	69779
568	91971	69665
569	92131	69503
570	92275	69328
571	92423	69156
572	92659	69049
573	92854	68913
574	93020	68754
575	93162	68577
576	93299	68397
577	93461	68236
578	93595	68054
579	93754	67891
580	93900	67718
581	94031	67534
582	94174	67359
583	94313	67182
584	94451	67004
