iter	Passed	Remaining
0	23	23281
1	35	17589
2	41	13718
3	54	13520
4	65	12974
5	71	11925
6	82	11655
7	88	11009
8	98	10862
9	106	10567
10	118	10638
11	123	10204
12	134	10193
13	139	9804
14	151	9919
15	162	9985
16	170	9833
17	180	9826
18	187	9702
19	200	9837
20	213	9963
21	220	9800
22	232	9888
23	246	10012
24	252	9835
25	261	9798
26	267	9637
27	278	9671
28	285	9555
29	309	10007
30	317	9931
31	327	9911
32	333	9774
33	342	9730
34	348	9595
35	356	9541
36	363	9452
37	373	9459
38	378	9330
39	385	9257
40	392	9179
41	396	9051
42	439	9786
43	483	10495
44	521	11065
45	553	11478
46	572	11605
47	599	11897
48	615	11941
49	620	11789
50	631	11746
51	636	11599
52	645	11542
53	650	11401
54	661	11368
55	666	11232
56	674	11156
57	679	11042
58	684	10923
59	694	10875
60	698	10757
61	707	10700
62	712	10593
63	716	10485
64	725	10438
65	730	10343
66	747	10414
67	757	10381
68	762	10284
69	768	10209
70	774	10132
71	778	10039
72	787	10004
73	793	9923
74	799	9859
75	807	9813
76	812	9739
77	822	9722
78	827	9647
79	835	9605
80	840	9537
81	844	9459
82	855	9449
83	859	9377
84	868	9351
85	873	9284
86	881	9247
87	886	9188
88	891	9122
89	901	9113
90	906	9058
91	929	9175
92	938	9152
93	949	9147
94	956	9108
95	964	9082
96	969	9028
97	979	9013
98	985	8968
99	992	8934
100	999	8894
101	1004	8846
102	1012	8817
103	1017	8770
104	1026	8753
105	1032	8708
106	1046	8735
107	1053	8701
108	1065	8708
109	1081	8749
110	1092	8751
111	1099	8716
112	1108	8701
113	1113	8657
114	1122	8637
115	1128	8602
116	1139	8602
117	1146	8568
118	1156	8559
119	1161	8515
120	1170	8505
121	1177	8471
122	1186	8456
123	1191	8418
124	1199	8394
125	1206	8366
126	1211	8329
127	1220	8316
128	1226	8281
129	1234	8260
130	1239	8224
131	1248	8210
132	1256	8191
133	1267	8191
134	1274	8163
135	1289	8189
136	1309	8247
137	1324	8271
138	1331	8250
139	1341	8240
140	1350	8227
141	1360	8221
142	1368	8203
143	1379	8200
144	1385	8170
145	1395	8159
146	1404	8147
147	1411	8123
148	1417	8098
149	1426	8081
150	1440	8098
151	1453	8109
152	1462	8096
153	1475	8103
154	1485	8097
155	1492	8073
156	1499	8050
157	1505	8023
158	1510	7990
159	1522	7990
160	1527	7959
161	1535	7943
162	1541	7913
163	1552	7913
164	1557	7881
165	1565	7863
166	1571	7840
167	1584	7844
168	1588	7813
169	1595	7790
170	1601	7764
171	1609	7750
172	1616	7729
173	1621	7698
174	1629	7684
175	1635	7656
176	1648	7663
177	1654	7639
178	1662	7623
179	1667	7594
180	1678	7596
181	1684	7570
182	1690	7549
183	1696	7524
184	1702	7500
185	1711	7488
186	1716	7460
187	1721	7435
188	1728	7415
189	1732	7385
190	1740	7372
191	1745	7347
192	1750	7319
193	1754	7289
194	1758	7260
195	1762	7231
196	1771	7219
197	1775	7193
198	1780	7166
199	1785	7143
200	1791	7120
201	1795	7093
202	1805	7087
203	1809	7060
204	1813	7034
205	1819	7012
206	1825	6993
207	1829	6967
208	1838	6957
209	1842	6932
210	1847	6907
211	1853	6891
212	1858	6866
213	1866	6854
214	1870	6829
215	1874	6804
216	1879	6781
217	1885	6762
218	1889	6739
219	1895	6722
220	1899	6696
221	1902	6667
222	1906	6644
223	1909	6613
224	1914	6594
225	1919	6574
226	1921	6544
227	1926	6523
228	1933	6511
229	1938	6489
230	1942	6466
231	1948	6451
232	1953	6430
233	1956	6403
234	1963	6392
235	1968	6373
236	1971	6345
237	1973	6319
238	1977	6296
239	1981	6275
240	1986	6255
241	1989	6232
242	1996	6221
243	2001	6199
244	2005	6179
245	2010	6162
246	2016	6146
247	2020	6127
248	2029	6121
249	2034	6102
250	2038	6082
251	2045	6072
252	2049	6052
253	2056	6039
254	2062	6025
255	2067	6009
256	2074	5997
257	2078	5978
258	2084	5964
259	2095	5964
260	2100	5947
261	2107	5935
262	2111	5918
263	2121	5914
264	2126	5897
265	2130	5878
266	2135	5863
267	2141	5848
268	2145	5830
269	2154	5824
270	2158	5807
271	2163	5789
272	2168	5775
273	2174	5761
274	2178	5743
275	2187	5738
276	2192	5722
277	2196	5704
278	2202	5691
279	2206	5674
280	2211	5658
281	2219	5650
282	2223	5633
283	2227	5616
284	2234	5606
285	2239	5589
286	2243	5574
287	2251	5566
288	2256	5550
289	2260	5533
290	2266	5522
291	2270	5506
292	2275	5491
293	2284	5486
294	2290	5473
295	2295	5460
296	2301	5446
297	2306	5434
298	2313	5423
299	2319	5411
300	2323	5396
301	2331	5388
302	2335	5371
303	2339	5356
304	2345	5344
305	2349	5329
306	2354	5314
307	2363	5309
308	2368	5296
309	2374	5284
310	2379	5270
311	2385	5260
312	2392	5252
313	2398	5239
314	2403	5226
315	2408	5214
316	2413	5200
317	2422	5195
318	2426	5181
319	2431	5166
320	2437	5155
321	2442	5142
322	2446	5128
323	2455	5123
324	2460	5109
325	2465	5097
326	2471	5087
327	2476	5073
328	2481	5060
329	2490	5055
330	2495	5043
331	2502	5035
332	2508	5023
333	2514	5013
334	2520	5003
335	2525	4990
336	2532	4981
337	2537	4969
338	2544	4961
339	2550	4950
340	2555	4938
341	2561	4928
342	2567	4917
343	2576	4912
344	2582	4902
345	2587	4891
346	2595	4883
347	2600	4872
348	2611	4871
349	2616	4859
350	2621	4846
351	2628	4837
352	2633	4826
353	2641	4819
354	2646	4807
355	2650	4794
356	2656	4783
357	2661	4773
358	2666	4760
359	2676	4757
360	2680	4745
361	2685	4732
362	2693	4726
363	2698	4714
364	2708	4712
365	2713	4699
366	2717	4687
367	2724	4678
368	2730	4668
369	2739	4665
370	2744	4653
371	2750	4644
372	2756	4633
373	2764	4626
374	2776	4628
375	2789	4628
376	2797	4623
377	2805	4616
378	2811	4607
379	2821	4602
380	2826	4591
381	2837	4589
382	2842	4579
383	2850	4572
384	2855	4561
385	2860	4550
386	2870	4547
387	2875	4535
388	2883	4528
389	2887	4517
390	2892	4504
391	2900	4498
392	2904	4486
393	2909	4474
394	2918	4469
395	2922	4457
396	2930	4450
397	2935	4439
398	2939	4427
399	2947	4421
400	2951	4409
401	2956	4397
402	2965	4392
403	2970	4381
404	2979	4376
405	2984	4366
406	2993	4362
407	2998	4351
408	3005	4342
409	3010	4332
410	3016	4322
411	3026	4319
412	3031	4309
413	3036	4298
414	3042	4289
415	3047	4278
416	3057	4274
417	3062	4264
418	3068	4254
419	3079	4252
420	3084	4241
421	3092	4236
422	3097	4225
423	3103	4216
424	3109	4207
425	3115	4197
426	3127	4196
427	3132	4186
428	3138	4177
429	3144	4168
430	3150	4158
431	3155	4148
432	3159	4137
433	3165	4128
434	3173	4122
435	3180	4114
436	3189	4108
437	3195	4100
438	3202	4093
439	3211	4087
440	3220	4082
441	3228	4075
442	3236	4069
443	3242	4060
444	3251	4055
445	3257	4046
446	3267	4041
447	3274	4034
448	3281	4027
449	3287	4017
450	3292	4007
451	3306	4009
452	3314	4001
453	3320	3993
454	3328	3986
455	3336	3979
456	3346	3975
457	3352	3967
458	3364	3965
459	3371	3957
460	3381	3953
461	3387	3945
462	3396	3939
463	3403	3931
464	3410	3924
465	3417	3916
466	3426	3910
467	3433	3902
468	3442	3897
469	3448	3888
470	3455	3880
471	3461	3872
472	3467	3863
473	3474	3856
474	3480	3846
475	3488	3839
476	3494	3831
477	3503	3826
478	3512	3820
479	3521	3814
480	3528	3807
481	3537	3802
482	3544	3794
483	3555	3790
484	3561	3782
485	3569	3775
486	3576	3767
487	3585	3762
488	3594	3755
489	3602	3749
490	3609	3741
491	3619	3737
492	3625	3728
493	3636	3725
494	3643	3717
495	3650	3709
496	3657	3701
497	3663	3692
498	3668	3683
499	3676	3676
500	3684	3669
501	3691	3662
502	3699	3655
503	3707	3648
504	3716	3643
505	3726	3638
506	3734	3631
507	3742	3624
508	3748	3616
509	3754	3607
510	3761	3599
511	3769	3592
512	3779	3587
513	3785	3579
514	3791	3570
515	3797	3562
516	3805	3555
517	3811	3546
518	3818	3538
519	3826	3531
520	3831	3522
521	3838	3515
522	3845	3506
523	3855	3501
524	3862	3494
525	3871	3488
526	3876	3479
527	3883	3471
528	3889	3462
529	3894	3453
530	3902	3446
531	3907	3437
532	3913	3429
533	3920	3420
534	3927	3413
535	3934	3406
536	3943	3400
537	3954	3395
538	3960	3387
539	3969	3381
540	3982	3378
541	3990	3372
542	4003	3369
543	4020	3370
544	4033	3367
545	4039	3358
546	4052	3355
547	4063	3351
548	4071	3344
549	4081	3339
550	4096	3337
551	4102	3329
552	4113	3325
553	4124	3320
554	4134	3314
555	4146	3311
556	4156	3305
557	4173	3305
558	4179	3297
559	4189	3291
560	4197	3284
561	4227	3294
562	4239	3290
563	4245	3281
564	4256	3277
565	4271	3275
566	4279	3268
567	4292	3264
568	4302	3258
569	4308	3250
570	4319	3245
571	4326	3237
572	4337	3232
573	4342	3223
574	4352	3217
575	4357	3207
576	4367	3201
577	4373	3193
578	4384	3187
579	4391	3180
580	4413	3182
581	4419	3174
582	4433	3171
583	4445	3166
584	4454	3160
585	4479	3164
586	4486	3156
587	4499	3152
588	4505	3143
589	4518	3140
590	4528	3134
591	4535	3125
592	4547	3120
593	4559	3116
594	4567	3108
595	4578	3103
596	4583	3094
597	4594	3088
598	4600	3079
599	4611	3074
600	4617	3065
601	4627	3059
602	4632	3050
603	4642	3043
604	4648	3034
605	4659	3029
606	4667	3021
607	4675	3014
608	4686	3008
609	4693	3000
610	4706	2996
611	4712	2987
612	4722	2981
613	4728	2972
614	4742	2968
615	4750	2961
616	4757	2953
617	4765	2945
618	4772	2937
619	4782	2931
620	4788	2922
621	4796	2914
622	4804	2907
623	4813	2900
624	4817	2890
625	4821	2880
626	4832	2874
627	4837	2865
628	4846	2858
629	4850	2848
630	4855	2839
631	4864	2832
632	4868	2822
633	4876	2815
634	4880	2805
635	4884	2795
636	4893	2788
637	4900	2780
638	4905	2771
639	4913	2764
640	4921	2756
641	4932	2750
642	4941	2743
643	4949	2736
644	4962	2731
645	4968	2722
646	4981	2717
647	4993	2712
